state,total,heat,tropical,fire,hurricane
Alabama,216,32,174,10,0
Alaska,46,0,0,46,0
Arkansas,615,330,110,175,0
Arizona,279,104,1,174,0
California,1219,107,10,1102,0
Colorado,347,0,0,347,0
Connecticut,48,29,18,1,0
District of Columbia,9,6,3,0,0
Delaware,97,66,14,17,0
Florida,1091,5,702,384,0
Georgia,1953,318,1403,189,43
Hawaii,238,0,9,229,0
Iowa,256,240,0,16,0
Idaho,277,0,0,277,0
Illinois,721,706,0,15,0
Indiana,77,75,0,2,0
Kansas,347,312,0,35,0
Kentucky,372,327,0,45,0
Louisiana,555,111,353,19,72
Maine,36,0,36,0,0
Maryland,236,145,71,20,0
Massachusetts,58,24,28,6,0
Michigan,58,34,0,24,0
Minnesota,211,197,0,14,0
Missouri,954,880,2,72,0
Mississippi,429,239,181,1,8
Montana,167,0,0,167,0
North Carolina,387,12,327,32,16
North Dakota,89,55,0,34,0
Nebraska,149,117,0,32,0
New Hampshire,16,1,15,0,0
New Jersey,578,334,72,172,0
New Mexico,116,44,0,72,0
Nevada,52,27,0,25,0
New York,221,131,60,30,0
Ohio,88,88,0,0,0
Oklahoma,692,439,1,252,0
Oregon,498,22,0,476,0
Pennsylvania,340,219,45,76,0
Rhode Island,19,9,10,0,0
South Carolina,244,47,181,16,0
South Dakota,292,235,0,57,0
Tennessee,236,190,44,2,0
Texas,1428,168,180,1052,28
Utah,84,0,0,84,0
Virginia,318,130,149,39,0
Vermont,7,2,3,2,0
Washington,363,21,0,342,0
Wisconsin,122,101,0,21,0
West Virginia,331,300,0,31,0
Wyoming,117,0,0,117,0