Year,Arizona,California,Colorado,Idaho,New Mexico,Utah,Washington
2001,0,37708800,0,0,0,0,1100000
2002,380000,129400000,59026000,0,0,5000000,50000
2003,132000000,2189122330,0,525000,0,0,1000000
2004,0,11119500,0,0,600000,0,5000
2005,0,6618500,5750000,1000,0,0,48000
2006,0,94025000,1015000,0,1000000,0,0
2007,0,1326315000,801000,15000,500000,700000,500
2008,0,188100000,6080000,5000000,9510000,0,2522000
2009,6210000,37216000,23000,0,157000,0,4000
2010,10000000,675500,218595000,604000,1015000,5000000,1000
2011,74075000,15625000,0,3700000,26100000,0,8696000
2012,47000,5494000,824830000,472570000,32058000,15675000,9616000
2013,77000,32775000,296000000,1100000,1010000,1050000,8799000
2014,7000000,57172000,0,2252000,510000,15000,243428000
2015,550000,1956000,0,8500000,15000,420000,800000